"txn_year","pr","u_count"
2023-01-01 00:00:00.000 +0300,494,7
2025-01-01 00:00:00.000 +0300,534,15
2024-01-01 00:00:00.000 +0300,161,106
2020-01-01 00:00:00.000 +0300,526,61
2025-01-01 00:00:00.000 +0300,268,114
2020-01-01 00:00:00.000 +0300,170,167
2023-01-01 00:00:00.000 +0300,422,329
2022-01-01 00:00:00.000 +0300,258,55
2022-01-01 00:00:00.000 +0300,650,1
2022-01-01 00:00:00.000 +0300,204,1160
2024-01-01 00:00:00.000 +0300,61,346
2024-01-01 00:00:00.000 +0300,484,75
2021-01-01 00:00:00.000 +0300,241,213
2021-01-01 00:00:00.000 +0300,175,60
2023-01-01 00:00:00.000 +0300,119,78
2021-01-01 00:00:00.000 +0300,105,561
2025-01-01 00:00:00.000 +0300,557,1
2020-01-01 00:00:00.000 +0300,55,1068
2020-01-01 00:00:00.000 +0300,552,5
2024-01-01 00:00:00.000 +0300,538,68
2024-01-01 00:00:00.000 +0300,163,160
2023-01-01 00:00:00.000 +0300,565,36
2020-01-01 00:00:00.000 +0300,422,474
2021-01-01 00:00:00.000 +0300,203,152
2024-01-01 00:00:00.000 +0300,268,331
2025-01-01 00:00:00.000 +0300,10,1396
2023-01-01 00:00:00.000 +0300,425,75
2024-01-01 00:00:00.000 +0300,572,31
2021-01-01 00:00:00.000 +0300,569,8
2022-01-01 00:00:00.000 +0300,547,44
2024-01-01 00:00:00.000 +0300,269,194
2020-01-01 00:00:00.000 +0300,408,365
2021-01-01 00:00:00.000 +0300,406,88
2024-01-01 00:00:00.000 +0300,524,220
2024-01-01 00:00:00.000 +0300,208,584
2022-01-01 00:00:00.000 +0300,413,326
2025-01-01 00:00:00.000 +0300,205,920
2024-01-01 00:00:00.000 +0300,288,145
2025-01-01 00:00:00.000 +0300,634,1
2025-01-01 00:00:00.000 +0300,115,5
2025-01-01 00:00:00.000 +0300,176,60
2025-01-01 00:00:00.000 +0300,162,52
2024-01-01 00:00:00.000 +0300,639,33
2020-01-01 00:00:00.000 +0300,196,281
2024-01-01 00:00:00.000 +0300,595,100
2023-01-01 00:00:00.000 +0300,229,840
2021-01-01 00:00:00.000 +0300,562,118
2025-01-01 00:00:00.000 +0300,172,12
2024-01-01 00:00:00.000 +0300,255,22
2022-01-01 00:00:00.000 +0300,60,4851
2021-01-01 00:00:00.000 +0300,486,31
2021-01-01 00:00:00.000 +0300,577,5
2024-01-01 00:00:00.000 +0300,248,2775
2023-01-01 00:00:00.000 +0300,211,31
2025-01-01 00:00:00.000 +0300,114,22
2020-01-01 00:00:00.000 +0300,428,3184
2025-01-01 00:00:00.000 +0300,270,21
2022-01-01 00:00:00.000 +0300,569,1
2023-01-01 00:00:00.000 +0300,25,13297
2023-01-01 00:00:00.000 +0300,238,2
2025-01-01 00:00:00.000 +0300,125,8
2025-01-01 00:00:00.000 +0300,627,3
2025-01-01 00:00:00.000 +0300,22,151
2021-01-01 00:00:00.000 +0300,419,421
2025-01-01 00:00:00.000 +0300,173,12
2023-01-01 00:00:00.000 +0300,575,2
2023-01-01 00:00:00.000 +0300,143,522
2024-01-01 00:00:00.000 +0300,278,1
2020-01-01 00:00:00.000 +0300,150,86
2021-01-01 00:00:00.000 +0300,168,37
2025-01-01 00:00:00.000 +0300,274,2
2024-01-01 00:00:00.000 +0300,531,97
2024-01-01 00:00:00.000 +0300,51,990
2021-01-01 00:00:00.000 +0300,564,104
2024-01-01 00:00:00.000 +0300,481,5090
2023-01-01 00:00:00.000 +0300,74,7
2024-01-01 00:00:00.000 +0300,114,66
2024-01-01 00:00:00.000 +0300,263,203
2022-01-01 00:00:00.000 +0300,143,637
2021-01-01 00:00:00.000 +0300,467,832
2022-01-01 00:00:00.000 +0300,163,256
2023-01-01 00:00:00.000 +0300,278,6
2024-01-01 00:00:00.000 +0300,59,228
2025-01-01 00:00:00.000 +0300,52,4714
2021-01-01 00:00:00.000 +0300,306,1153
2022-01-01 00:00:00.000 +0300,250,5718
2024-01-01 00:00:00.000 +0300,151,69
2021-01-01 00:00:00.000 +0300,139,1
2024-01-01 00:00:00.000 +0300,423,19
2022-01-01 00:00:00.000 +0300,105,532
2023-01-01 00:00:00.000 +0300,14,2079
2023-01-01 00:00:00.000 +0300,485,101
2020-01-01 00:00:00.000 +0300,71,302
2024-01-01 00:00:00.000 +0300,506,2375
2023-01-01 00:00:00.000 +0300,101,1784
2021-01-01 00:00:00.000 +0300,560,88
2022-01-01 00:00:00.000 +0300,313,64
2025-01-01 00:00:00.000 +0300,622,249
2022-01-01 00:00:00.000 +0300,529,501
2025-01-01 00:00:00.000 +0300,265,13
2025-01-01 00:00:00.000 +0300,644,1
2025-01-01 00:00:00.000 +0300,86,330
2025-01-01 00:00:00.000 +0300,510,14
2024-01-01 00:00:00.000 +0300,621,645
2023-01-01 00:00:00.000 +0300,650,321
2022-01-01 00:00:00.000 +0300,149,2
2020-01-01 00:00:00.000 +0300,188,477
2022-01-01 00:00:00.000 +0300,630,29
2020-01-01 00:00:00.000 +0300,217,2
2023-01-01 00:00:00.000 +0300,19,15
2021-01-01 00:00:00.000 +0300,115,21
2024-01-01 00:00:00.000 +0300,626,8
2023-01-01 00:00:00.000 +0300,595,10288
2025-01-01 00:00:00.000 +0300,535,11
2025-01-01 00:00:00.000 +0300,113,17
2020-01-01 00:00:00.000 +0300,560,1
2025-01-01 00:00:00.000 +0300,618,659
2023-01-01 00:00:00.000 +0300,209,550
2025-01-01 00:00:00.000 +0300,111,145
2022-01-01 00:00:00.000 +0300,528,542
2023-01-01 00:00:00.000 +0300,154,83
2021-01-01 00:00:00.000 +0300,170,399
2021-01-01 00:00:00.000 +0300,36,116
2022-01-01 00:00:00.000 +0300,305,8
2021-01-01 00:00:00.000 +0300,162,102
2023-01-01 00:00:00.000 +0300,174,28
2021-01-01 00:00:00.000 +0300,485,73
2023-01-01 00:00:00.000 +0300,63,9840
2022-01-01 00:00:00.000 +0300,108,145
2022-01-01 00:00:00.000 +0300,573,44
2025-01-01 00:00:00.000 +0300,553,2
2023-01-01 00:00:00.000 +0300,598,93
2021-01-01 00:00:00.000 +0300,548,184
2021-01-01 00:00:00.000 +0300,210,4846
2024-01-01 00:00:00.000 +0300,628,17
2023-01-01 00:00:00.000 +0300,95,244
2022-01-01 00:00:00.000 +0300,262,6
2020-01-01 00:00:00.000 +0300,121,21
2025-01-01 00:00:00.000 +0300,71,116
2022-01-01 00:00:00.000 +0300,496,559
2023-01-01 00:00:00.000 +0300,120,96
2022-01-01 00:00:00.000 +0300,115,22
2024-01-01 00:00:00.000 +0300,689,645
2020-01-01 00:00:00.000 +0300,406,37
2022-01-01 00:00:00.000 +0300,181,85
2020-01-01 00:00:00.000 +0300,226,59
2023-01-01 00:00:00.000 +0300,196,2335
2025-01-01 00:00:00.000 +0300,221,681
2025-01-01 00:00:00.000 +0300,505,325
2021-01-01 00:00:00.000 +0300,113,152
2023-01-01 00:00:00.000 +0300,525,471
2024-01-01 00:00:00.000 +0300,123,12
2024-01-01 00:00:00.000 +0300,135,4
2025-01-01 00:00:00.000 +0300,526,21
2024-01-01 00:00:00.000 +0300,550,18
2022-01-01 00:00:00.000 +0300,483,6967
2024-01-01 00:00:00.000 +0300,62,557
2023-01-01 00:00:00.000 +0300,234,607
2025-01-01 00:00:00.000 +0300,532,13
2024-01-01 00:00:00.000 +0300,537,76
2022-01-01 00:00:00.000 +0300,36,67
2021-01-01 00:00:00.000 +0300,63,13864
2022-01-01 00:00:00.000 +0300,208,324
2024-01-01 00:00:00.000 +0300,542,46
2023-01-01 00:00:00.000 +0300,500,230
2023-01-01 00:00:00.000 +0300,508,2044
2024-01-01 00:00:00.000 +0300,638,37
2023-01-01 00:00:00.000 +0300,104,208
2024-01-01 00:00:00.000 +0300,270,59
2022-01-01 00:00:00.000 +0300,232,2642
2025-01-01 00:00:00.000 +0300,60,1185
2025-01-01 00:00:00.000 +0300,513,198
2022-01-01 00:00:00.000 +0300,411,309
2021-01-01 00:00:00.000 +0300,567,20
2025-01-01 00:00:00.000 +0300,625,2
2021-01-01 00:00:00.000 +0300,209,66
2020-01-01 00:00:00.000 +0300,169,16
2022-01-01 00:00:00.000 +0300,554,20
2022-01-01 00:00:00.000 +0300,560,3
2020-01-01 00:00:00.000 +0300,199,162
2021-01-01 00:00:00.000 +0300,233,64
2021-01-01 00:00:00.000 +0300,597,74
2022-01-01 00:00:00.000 +0300,432,146
